Problem statement ID,Title,Description,Tags
RUTH001,Last-Mile Delivery Route Optimizer,"Many local e-commerce or grocery vendors in tier-2/3 cities face high logistics costs due to inefficient delivery planning. Build a lightweight route optimization tool that ingests a small CSV/excel of customer addresses and suggests an efficient route (optimized for time, distance, or traffic).","logistics, routing, maps, small business, India"
RUTH002,Neighborhood Skill Sharing Platform," In many communities, residents have skills (plumbing, tailoring, gardening, tutoring) that they might casually exchange. Create a platform for neighbors to list available skills and request others’, enabling barter or local services within a small radius.","community, skill-sharing, hyperlocal, barter, mobile-friendly"
RUTH003,Smart Water Usage Tracker,"Water scarcity is critical in many Indian cities. Design a simple app that allows households to manually log daily water consumption (via bucket counts or meter readings), visualizes usage trends, and sends mid-day reminders if usage exceeds a threshold","sustainability, IoT-ready, data visualization, water management"
RUTH004,Campus Carpool Coordinator,"Many students or office commuters in congested cities have similar routes but lack ride-sharing platforms. Develop a scheduling app that matches commuters based on location and time, with easy check-in/out and in-app chat.","mobility, carpool, scheduling, social, traffic reduction"
RUTH005,Street Vendor Digital Catalogue,"Street vendors often lack digital presence, limiting reach. Build a small app where vendors can upload photos of their products (e.g., food items, accessories), specify prices, and broadcast daily menus/offers via SMS or WhatsApp-like links.","MSME support, digital inclusion, marketplace, mobile-first"
RUTH006,Public Toilet Locator & Live Status,"Lack of clean, accessible public toilets is a big problem. Create a map-based app where users can report cleanliness status and see nearby public toilets with user-reported live feedback on hygiene.","public sanitation, maps, crowdsourcing, mobile app, civic-tech"
RUTH007,Crop Disease Identifier,"Small-scale farmers often can’t diagnose plant diseases. Develop a mobile app where users upload a photo of a leaf/plant, the app runs a simple ML vision model to suggest possible diseases or deficiencies along with remedy tips.","agriculture, computer vision, machine learning, rural tech, mobile app"
RUTH008,Local Grocery Price Comparator,"Prices vary widely across markets in Indian cities. Build a tool where users enter a grocery item and get a list of approximate prices from nearby kirana stores or online aggregators, helping them compare and save","price transparency, local commerce, savings, data aggregation"
RUTH009,Indoor Air Quality Alert,"Many urban households face dust and pollution; smart monitoring isn’t widespread. Create a prototype that accepts user-input (e.g., sensor API or mock data) and triggers indoor air-quality alerts via SMS or notification when particulate levels cross safe levels","health, air quality, alerts, IoT-ready, environmental monitoring"
RUTH010,Local Event & Volunteer Matchmaker,"NGOs and community initiatives often struggle to find volunteers. Build a simple platform where organizations post one-day events (tree plantation, blood donation drives) and local volunteers sign up, with calendar integrations/notifications","community, volunteering, civic-tech, scheduling"
RUTH011,Electricity Outage Notifier,"Power cuts are common in certain areas, with poor communication. Create an app where users can report outages; others nearby get real-time alerts, including crowd-sourced status and ETA to restoration.","energy, alerts, civic participation, hyperlocal"
RUTH012,Micro-Loan Eligibility Checker,"Unbanked individuals or small businesses often lack access to credit despite meeting eligibility criteria. Create a front-end wizard that asks for a few inputs (business type, turnover, location) and simulates evaluation, giving instant eligibility estimate, with next steps for actual loans.","fintech, financial inclusion, simulations, UI/UX"
RUTH013,Rural Bus Schedule Digitalizer,"Rural areas in India often lack real-time bus schedule updates. Build a tool where local transport authorities or villagers can update bus timings in real-time, displayed on a simple mobile app for commuters.","transport, rural-tech, mobility, civic-tech"
RUTH014,Electric Rickshaw Charging Locator,EV rickshaw drivers struggle to find nearby charging stations. Create a map-based app that shows the nearest charging points with live status (open/closed) via crowd-sourced updates.,"EV, mobility, maps, sustainability"
RUTH015,Medicine Stock Checker for Pharmacies,"Many customers roam across multiple chemists to find medicines. Build a lightweight tool where local pharmacies can update their medicine stock daily, and users can search for availability nearby.","health-tech, local commerce, hyperlocal, pharmacy"
RUTH016,Women Safety SOS App,"Build a mobile app that allows women to trigger an SOS with one tap, sending live location and audio recording to trusted contacts and optionally nearby volunteers.","safety, mobile app, community support, real-time alerts"
RUTH017,School Homework Manager,"Teachers often send homework updates on WhatsApp groups, which get lost. Create a simple platform for teachers to upload homework/tasks and students to view/download them easily with deadlines.","education, edtech, productivity, teachers"
RUTH018,Electricity Bill Splitter for Tenants,"Shared apartments in Indian cities face confusion in splitting electricity bills fairly. Build an app where users input the total bill, and it calculates fair shares based on meter readings or agreed ratios.","fintech, housing, utilities, calculators"
RUTH019,Lost & Found Portal for Campuses,Colleges lack organized lost-and-found systems. Create a campus-specific platform where students can post lost/found items with photos and locations,"education, community, campus-tech, mobile-first"
RUTH020,Daily Wage Worker Job Board,"Many laborers rely on word-of-mouth for work. Build a hyperlocal board where contractors post one-day jobs, and workers can claim them easily without lengthy registrations.","gig economy, rural tech, job-tech, blue-collar"
RUTH021,Pothole Reporting App,"Urban residents often face potholes but don’t know where to report. Build a crowdsourced map where users can mark pothole locations, with data exportable for municipal authorities.","civic-tech, maps, urban infrastructure, crowdsourcing"
RUTH022,Rainwater Harvesting Calculator,"Many Indian homes want to implement rainwater harvesting but don’t know the required capacity. Build a tool where users enter rooftop size, rainfall data, and it calculates system size & cost estimate.","environment, calculators, water management, sustainability"
RUTH023,Street Light Outage Reporter,"Dark streets increase safety risks. Build a mobile-first platform where users can mark dysfunctional streetlights, with GPS coordinates, to be shared with authorities.","civic-tech, safety, urban-tech, maps"
RUTH024,Festival Waste Management Planner,"Indian festivals generate large waste piles. Build a tool for local organizers to plan volunteers, waste bins, and post-cleaning schedules based on expected crowd size.","environment, event-tech, sustainability, planning"
RUTH025,Affordable Tiffin Service Aggregator,"Working professionals and students rely on tiffin services, but finding reliable ones is hard. Build a directory app with pricing, ratings, and delivery areas.","food-tech, hyperlocal, students, working professionals"
RUTH026,Local Language Learning Buddy,Migrants to different Indian states often struggle with local languages. Build a chatbot-like tool for learning key phrases quickly with audio snippets.,"edtech, language, AI chatbot, inclusivity"
RUTH027,Water Tanker Booking Platform,"In water-scarce cities, residents hire private water tankers. Build a platform where users can see tanker availability, prices, and request delivery","utilities, urban-tech, water management, marketplace"
RUTH028,Rural Health Camp Manager,NGOs organize health camps but struggle to manage registrations and patient records. Build a lightweight web portal for managing schedules and basic health data.,"health-tech, rural, NGO, scheduling"
RUTH029,College Notes Exchange Platform,Students often search for notes before exams. Build a platform where students can upload and share notes by subject/semester with a rating system.,"education, collaboration, productivity, students"
RUTH030,Public Grievance Dashboard,"People post complaints on Twitter or portals, but they’re scattered. Build a dashboard that aggregates public grievances from multiple sources for local authorities to review.","civic-tech, dashboards, analytics, public services"
RUTH031,Urban Noise Pollution Mapper,Many Indian cities have noise hotspots. Build a crowdsourced platform where users can log noise levels at different times/places using a simple decibel-reading mobile API.,"environment, civic-tech, crowdsourcing, data visualization"
RUTH032,Green Commuting Reward App,"Encourage people to use public transport, cycling, or walking by creating a simple app where users log eco-friendly commutes and earn points redeemable for coupons.","sustainability, mobility, gamification, environment"
RUTH033,Local Blood Donor Finder,Build a lightweight platform for hospitals or NGOs to find nearby blood donors instantly during emergencies,"health-tech, civic-tech, crowdsourcing, emergency"
RUTH034,Smart Dustbin Fill-Level Notifier,"Create an IoT-ready system where dustbins send simple “full/not full” signals, visible on a web dashboard for municipal staff.","civic-tech, IoT, cleanliness, smart cities"
RUTH035,College Event Calendar App,Colleges often have multiple events overlapping. Create a centralized event calendar for students with notifications and RSVP options.,"education, campus-tech, scheduling, productivity"
RUTH036,Digital Queue Token for Clinics,Patients wait for hours at clinics. Build a web app where patients can get a token online and track live queue status,"health-tech, rural-tech, scheduling, civic-tech"
RUTH037,Farm Equipment Rental Platform,Farmers often need expensive equipment temporarily. Build a platform for renting and lending farm equipment hyperlocally.,"agriculture, rural-tech, marketplace, economy"
RUTH038,College Mentorship Matchmaking App,Pair juniors with seniors or alumni based on interests/career goals using a simple form and matching algorithm.,"education, mentorship, community, networking"
RUTH039,Temple Darshan Slot Booking App,Many temples face overcrowding. Build an app for devotees to book time slots for darshan to avoid long queues.,"religion, civic-tech, scheduling, tourism"
RUTH040,Street Art & Mural Locator,Showcase city murals and street art via a map-based platform with user-submitted photos and locations.,"tourism, art-tech, maps, culture"
RUTH041,Hyperlocal Job Alerts via WhatsApp,Small businesses often hire daily-wage staff. Create a system that sends job alerts via WhatsApp or SMS for local openings.,"job-tech, hyperlocal, gig-economy, automation"
RUTH042,School Bus Live Tracking,Parents often worry about school bus timings. Build a simple GPS-enabled app for real-time tracking and delay alerts,"education, transport, safety, parents"
RUTH043,Recycled Materials Marketplace,Create a platform where scrap dealers and industries can list or buy recyclable materials,"environment, marketplace, sustainability, economy"
RUTH044,Village Water Quality Reporter,"Build a system for villagers to report water quality issues (color, odor) with images and GPS location for authorities","rural-tech, environment, civic-tech, health"
RUTH045,College Attendance Predictor,Build a simple analytics tool where students input class attendance and get predictions on attendance percentage needed to meet 75% criteria.,"education, analytics, students, productivity"
RUTH046,Local Sports Ground Booking App,Grounds in cities are often double-booked. Create an app where people can check availability and reserve slots online.,"sports-tech, scheduling, community, mobile-app"
RUTH047,Affordable Online Tuition Directory,"Build a portal listing tutors by subject, price, and location with ratings and reviews.","edtech, tutoring, marketplace, students"
RUTH048,Weather-based Crop Suggestion Tool,Use local weather data to suggest suitable crops for farmers for the coming season,"agriculture, rural-tech, data analytics, environment"
RUTH049,Pet Adoption & Rescue Portal,"Build a platform connecting pet shelters, rescuers, and adopters for abandoned animals.","civic-tech, pet-care, community, marketplace"
